name,calls,cuda_total_ms,cuda_avg_ms,self_cuda_total_ms,cpu_total_ms
_RasterizeToPixels,5,7.259,1.4518,7.259,0.466
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<32u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,7.259,1.4518,7.259,0.0
aten::mean,10,1.185,0.1185,1.185,0.571
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",10,1.175,0.1175,1.175,0.0
"void cub::DeviceRadixSortOnesweepKernel<cub::DeviceRadixSortPolicy<long, int, int>::Policy800, false, long, int, int, int>(int*, int*, int*, int const*, long*, long const*, int*, int const*, int, int, int)",30,0.783,0.0261,0.783,0.0
"void gsplat::intersect_tile_kernel<float>(bool, unsigned int, unsigned int, unsigned int, long const*, long const*, float const*, int const*, float const*, long const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int*, long*, int*)",10,0.537,0.053700000000000005,0.537,0.0
aten::inverse,5,0.3,0.06,0.0,8.201
aten::linalg_inv,5,0.3,0.06,0.0,8.194
aten::linalg_inv_ex,5,0.258,0.0516,0.0,1.672
aten::linalg_solve_ex,5,0.229,0.0458,0.0,1.283
aten::_linalg_solve_ex,5,0.229,0.0458,0.0,1.181
aten::cat,25,0.211,0.00844,0.211,0.862
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 3, 128, 1>(float*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<float, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",15,0.17,0.011333333333333334,0.17,0.0
aten::linalg_lu_solve,5,0.142,0.028399999999999998,0.12,0.619
Memset (Device),50,0.133,0.00266,0.133,0.0
aten::copy_,25,0.096,0.0038399999999999997,0.096,11.006
aten::fill_,30,0.089,0.002966666666666667,0.089,0.616
aten::linalg_lu_factor_ex,5,0.087,0.0174,0.072,0.345
aten::cumsum,5,0.078,0.0156,0.047,0.45
aten::zero_,25,0.074,0.00296,0.0,0.619
