name,calls,cuda_total_ms,cuda_avg_ms,self_cuda_total_ms,cpu_total_ms
_RasterizeToPixels,5,4.239,0.8478,4.239,0.47
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<19u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,4.239,0.8478,4.239,0.0
aten::mean,10,0.943,0.0943,0.943,0.613
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",10,0.933,0.0933,0.933,0.0
"void cub::DeviceRadixSortOnesweepKernel<cub::DeviceRadixSortPolicy<long, int, int>::Policy800, false, long, int, int, int>(int*, int*, int*, int const*, long*, long const*, int*, int const*, int, int, int)",30,0.784,0.02613333333333333,0.784,0.0
"void gsplat::intersect_tile_kernel<float>(bool, unsigned int, unsigned int, unsigned int, long const*, long const*, float const*, int const*, float const*, long const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int*, long*, int*)",10,0.535,0.0535,0.535,0.0
aten::inverse,5,0.299,0.0598,0.0,2.741
aten::linalg_inv,5,0.299,0.0598,0.0,2.73
aten::linalg_inv_ex,5,0.259,0.0518,0.0,1.835
aten::linalg_solve_ex,5,0.231,0.046200000000000005,0.0,1.409
aten::_linalg_solve_ex,5,0.231,0.046200000000000005,0.0,1.298
aten::cat,15,0.145,0.009666666666666665,0.145,0.567
aten::linalg_lu_solve,5,0.142,0.028399999999999998,0.12,0.673
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 3, 128, 1>(float*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<float, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",10,0.125,0.0125,0.125,0.0
Memset (Device),50,0.124,0.00248,0.124,0.0
aten::linalg_lu_factor_ex,5,0.089,0.0178,0.074,0.382
aten::copy_,25,0.087,0.00348,0.087,3.493
aten::cumsum,5,0.079,0.0158,0.049,0.48
"void cub::DeviceRadixSortHistogramKernel<cub::DeviceRadixSortPolicy<long, int, int>::Policy800, false, long, int>(int*, long const*, int, int, int)",5,0.065,0.013,0.065,0.0
aten::to,25,0.057,0.00228,0.0,6.079
