# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    5    2050136     C      0      0      -      -      -      -    432      0    python         
    5    2050136     C      0      0      -      -      -      -    686      0    python         
    5    2050136     C     63      6      -      -      -      -    686      0    python         
    5    2050136     C     88      8      -      -      -      -    686      0    python         
    5    2050136     C     88      8      -      -      -      -    686      0    python         
    5    2050136     C     93      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     93      9      -      -      -      -    686      0    python         
    5    2050136     C     93      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     93      9      -      -      -      -    686      0    python         
    5    2050136     C     93      8      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     93      9      -      -      -      -    686      0    python         
    5    2050136     C     93      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     93      8      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     93      8      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     93      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     93      9      -      -      -      -    686      0    python         
    5    2050136     C     93      9      -      -      -      -    686      0    python         
    5    2050136     C     92      9      -      -      -      -    686      0    python         
    5    2050136     C     91      8      -      -      -      -    686      0    python         
    5    2050136     C     90      9      -      -      -      -    686      0    python         
    5    2050136     C     91      9      -      -      -      -    686      0    python         
    5    2050136     C     91      9      -      -      -      -    686      0    python         
    5    2050136     C     91      9      -      -      -      -    686      0    python         
    5    2050136     C     91      9      -      -      -      -    686      0    python         
    5    2050136     C     91      9      -      -      -      -    686      0    python         
    5    2050136     C     91      8      -      -      -      -    686      0    python         
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    5    2050136     C     90      9      -      -      -      -    686      0    python         
    5    2050136     C     91      9      -      -      -      -    686      0    python         
    5    2050136     C     91      8      -      -      -      -    686      0    python         
    5    2050136     C     91      9      -      -      -      -    686      0    python         
    5    2050136     C     91      8      -      -      -      -    686      0    python         
    5    2050136     C     66      6      -      -      -      -    686      0    python         
    5    2050136     C     10      1      -      -      -      -    686      0    python         
