backend,mode,view_index,view_order,sample,time_ms
diff,forward,0,0,0,1.9415040016174316
diff,forward,17,1,1,1.9425280094146729
diff,forward,34,2,2,2.100224018096924
diff,forward,51,3,3,2.287616014480591
diff,forward,68,4,4,1.9589120149612427
diff,forward,85,5,5,1.8995200395584106
diff,forward,102,6,6,1.8903039693832397
diff,forward,119,7,7,1.8995200395584106
diff,forward,136,8,8,2.144256114959717
diff,forward,153,9,9,1.831936001777649
diff,forward,0,0,10,1.9179519414901733
diff,forward,17,1,11,1.8462719917297363
diff,forward,34,2,12,2.1381120681762695
diff,forward,51,3,13,2.2712318897247314
diff,forward,68,4,14,1.97324800491333
diff,forward,85,5,15,1.8810880184173584
diff,forward,102,6,16,1.8821120262145996
diff,forward,119,7,17,1.9548159837722778
diff,forward,136,8,18,2.1882879734039307
diff,forward,153,9,19,1.879040002822876
diff,forward,0,0,20,1.9875839948654175
diff,forward,17,1,21,1.9230719804763794
diff,forward,34,2,22,2.1125121116638184
diff,forward,51,3,23,2.2558720111846924
diff,forward,68,4,24,2.027519941329956
diff,forward,85,5,25,1.87391996383667
diff,forward,102,6,26,1.884160041809082
diff,forward,119,7,27,1.8780159950256348
diff,forward,136,8,28,2.437119960784912
diff,forward,153,9,29,1.921023964881897
diff,forward,0,0,30,1.9865599870681763
diff,forward,17,1,31,1.9056639671325684
diff,forward,34,2,32,2.1094400882720947
diff,forward,51,3,33,2.288640022277832
diff,forward,68,4,34,2.0142080783843994
diff,forward,85,5,35,1.9353599548339844
diff,forward,102,6,36,1.9005440473556519
diff,forward,119,7,37,1.9179519414901733
diff,forward,136,8,38,2.1493759155273438
diff,forward,153,9,39,1.8923519849777222
diff,forward,0,0,40,1.9814399480819702
diff,forward,17,1,41,1.9271680116653442
diff,forward,34,2,42,2.0992000102996826
diff,forward,51,3,43,2.230272054672241
diff,forward,68,4,44,2.3152639865875244
diff,forward,85,5,45,1.968127965927124
diff,forward,102,6,46,1.8831360340118408
diff,forward,119,7,47,1.926144003868103
diff,forward,136,8,48,2.268160104751587
diff,forward,153,9,49,1.8769919872283936
diff,forward,0,0,50,2.02239990234375
diff,forward,17,1,51,1.8954240083694458
diff,forward,34,2,52,2.124799966812134
diff,forward,51,3,53,2.2466559410095215
diff,forward,68,4,54,1.9486720561981201
diff,forward,85,5,55,1.8882559537887573
diff,forward,102,6,56,1.9025919437408447
diff,forward,119,7,57,1.9302400350570679
diff,forward,136,8,58,2.130944013595581
diff,forward,153,9,59,2.2159359455108643
diff,forward,0,0,60,2.017280101776123
diff,forward,17,1,61,2.017280101776123
diff,forward,34,2,62,2.1094400882720947
diff,forward,51,3,63,2.2599680423736572
diff,forward,68,4,64,2.002943992614746
diff,forward,85,5,65,1.9097599983215332
diff,forward,102,6,66,1.8974720239639282
diff,forward,119,7,67,1.931264042854309
diff,forward,136,8,68,2.1872639656066895
diff,forward,153,9,69,1.866752028465271
diff,forward,0,0,70,1.9752960205078125
diff,forward,17,1,71,1.8688000440597534
diff,forward,34,2,72,2.0930559635162354
diff,forward,51,3,73,2.3009281158447266
diff,forward,68,4,74,2.0101120471954346
diff,forward,85,5,75,1.8626559972763062
diff,forward,102,6,76,1.9107840061187744
diff,forward,119,7,77,1.921023964881897
diff,forward,136,8,78,2.136064052581787
diff,forward,153,9,79,1.891327977180481
diff,forward,0,0,80,1.9281920194625854
diff,forward,17,1,81,1.9046399593353271
diff,forward,34,2,82,2.1227519512176514
diff,forward,51,3,83,2.317312002182007
diff,forward,68,4,84,2.0152320861816406
diff,forward,85,5,85,1.896448016166687
diff,forward,102,6,86,1.8503680229187012
diff,forward,119,7,87,1.8974720239639282
diff,forward,136,8,88,2.1616640090942383
diff,forward,153,9,89,1.879040002822876
diff,forward,0,0,90,1.994752049446106
diff,forward,17,1,91,1.896448016166687
diff,forward,34,2,92,2.0776960849761963
diff,forward,51,3,93,2.2620160579681396
diff,forward,68,4,94,2.032639980316162
diff,forward,85,5,95,1.8759679794311523
diff,forward,102,6,96,1.8882559537887573
diff,forward,119,7,97,1.8892799615859985
diff,forward,136,8,98,2.155519962310791
diff,forward,153,9,99,1.8698240518569946
diff,forward,0,0,100,1.943552017211914
diff,forward,17,1,101,1.8872319459915161
diff,forward,34,2,102,2.091007947921753
diff,forward,51,3,103,2.249727964401245
diff,forward,68,4,104,1.9548159837722778
diff,forward,85,5,105,1.8923519849777222
diff,forward,102,6,106,1.884160041809082
diff,forward,119,7,107,1.9640320539474487
diff,forward,136,8,108,2.1524479389190674
diff,forward,153,9,109,1.8944000005722046
diff,forward,0,0,110,1.9271680116653442
diff,forward,17,1,111,1.8923519849777222
diff,forward,34,2,112,2.0940799713134766
diff,forward,51,3,113,2.257920026779175
diff,forward,68,4,114,2.011136054992676
diff,forward,85,5,115,1.9118080139160156
diff,forward,102,6,116,1.8698240518569946
diff,forward,119,7,117,1.9128320217132568
diff,forward,136,8,118,2.1186559200286865
diff,forward,153,9,119,1.8575359582901
diff,forward,0,0,120,1.9537919759750366
diff,forward,17,1,121,2.0039680004119873
diff,forward,34,2,122,2.1370880603790283
diff,forward,51,3,123,2.274303913116455
diff,forward,68,4,124,2.042880058288574
diff,forward,85,5,125,1.9691519737243652
diff,forward,102,6,126,1.901568055152893
diff,forward,119,7,127,1.8933759927749634
diff,forward,136,8,128,2.184191942214966
diff,forward,153,9,129,1.955839991569519
diff,forward,0,0,130,1.9804160594940186
diff,forward,17,1,131,1.943552017211914
diff,forward,34,2,132,2.1278719902038574
diff,forward,51,3,133,2.2702078819274902
diff,forward,68,4,134,1.9916800260543823
diff,forward,85,5,135,1.9025919437408447
diff,forward,102,6,136,1.8585599660873413
diff,forward,119,7,137,1.8800640106201172
diff,forward,136,8,138,2.155519962310791
diff,forward,153,9,139,1.854464054107666
diff,forward,0,0,140,1.9486720561981201
diff,forward,17,1,141,1.8769919872283936
diff,forward,34,2,142,2.081792116165161
diff,forward,51,3,143,2.2568960189819336
diff,forward,68,4,144,2.0152320861816406
diff,forward,85,5,145,1.9097599983215332
diff,forward,102,6,146,1.8657280206680298
diff,forward,119,7,147,1.8862080574035645
diff,forward,136,8,148,2.12992000579834
diff,forward,153,9,149,1.8431999683380127
diff,forward,0,0,150,1.9640320539474487
diff,forward,17,1,151,1.8585599660873413
diff,forward,34,2,152,2.15449595451355
diff,forward,51,3,153,2.264064073562622
diff,forward,68,4,154,1.9967999458312988
diff,forward,85,5,155,1.9025919437408447
diff,forward,102,6,156,1.9066879749298096
diff,forward,119,7,157,1.879040002822876
diff,forward,136,8,158,2.1319680213928223
diff,forward,153,9,159,1.8688000440597534
diff,forward,0,0,160,1.9763200283050537
diff,forward,17,1,161,1.8954240083694458
diff,forward,34,2,162,2.0971519947052
diff,forward,51,3,163,2.2507519721984863
diff,forward,68,4,164,1.9752960205078125
diff,forward,85,5,165,1.8933759927749634
diff,forward,102,6,166,1.8513920307159424
diff,forward,119,7,167,1.9660799503326416
diff,forward,136,8,168,2.1770238876342773
diff,forward,153,9,169,1.879040002822876
diff,forward,0,0,170,1.9353599548339844
diff,forward,17,1,171,1.866752028465271
diff,forward,34,2,172,2.1043200492858887
diff,forward,51,3,173,2.2753279209136963
diff,forward,68,4,174,2.0049920082092285
diff,forward,85,5,175,1.8892799615859985
