name,calls,cuda_total_ms,cuda_avg_ms,self_cuda_total_ms,cpu_total_ms
_RasterizeToPixels,10,5.278,0.5277999999999999,5.278,0.864
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<16u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,3.506,0.7012,3.506,0.0
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<3u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,1.772,0.3544,1.772,0.0
"void cub::DeviceRadixSortOnesweepKernel<cub::DeviceRadixSortPolicy<long, int, int>::Policy800, false, long, int, int, int>(int*, int*, int*, int const*, long*, long const*, int*, int const*, int, int, int)",30,0.776,0.025866666666666666,0.776,0.0
aten::mean,10,0.54,0.054,0.54,0.591
"void gsplat::intersect_tile_kernel<float>(bool, unsigned int, unsigned int, unsigned int, long const*, long const*, float const*, int const*, float const*, long const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int*, long*, int*)",10,0.53,0.053,0.53,0.0
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",10,0.53,0.053,0.53,0.0
aten::linalg_inv,5,0.292,0.0584,0.0,2.258
aten::linalg_inv_ex,5,0.252,0.0504,0.0,1.661
aten::linalg_solve_ex,5,0.227,0.045399999999999996,0.0,1.268
aten::_linalg_solve_ex,5,0.227,0.045399999999999996,0.0,1.156
aten::inverse,5,0.175,0.035,0.0,2.263
aten::linalg_lu_solve,5,0.139,0.027800000000000002,0.119,0.601
Memset (Device),50,0.116,0.00232,0.116,0.0
aten::linalg_lu_factor_ex,5,0.088,0.0176,0.073,0.349
aten::copy_,25,0.085,0.0034,0.085,3.361
aten::cumsum,5,0.077,0.0154,0.047,0.454
aten::cat,5,0.071,0.014199999999999999,0.071,0.191
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 3, 128, 1>(float*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<float, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",5,0.071,0.014199999999999999,0.071,0.0
"void cub::DeviceRadixSortHistogramKernel<cub::DeviceRadixSortPolicy<long, int, int>::Policy800, false, long, int>(int*, long const*, int, int, int)",5,0.063,0.0126,0.063,0.0
