name,calls,cuda_total_ms,cuda_avg_ms,self_cuda_total_ms,cpu_total_ms
autograd::engine::evaluate_function: _RasterizeToPixelsBackward,5,51.137,10.2274,0.0,2.364
_RasterizeToPixelsBackward,5,51.137,10.2274,44.518,2.136
"void gsplat::rasterize_to_pixels_3dgs_bwd_kernel<32u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float const*, int const*, float const*, float const*, glm::vec<2, float, (glm::qualifier)0>*, glm::vec<2, float, (glm::qualifier)0>*, glm::vec<3, float, (glm::qualifier)0>*, float*, float*)",5,44.518,8.9036,44.518,0.0
aten::fill_,140,8.127,0.05805,8.127,3.887
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>)",130,8.082,0.062169230769230775,8.082,0.0
aten::zero_,120,8.067,0.067225,0.0,4.046
aten::copy_,70,7.819,0.11170000000000001,7.819,45.887
aten::zeros_like,45,7.184,0.15964444444444445,0.0,2.675
autograd::engine::evaluate_function: SliceBackward0,25,6.726,0.26904,0.0,3.997
SliceBackward0,25,6.381,0.25524,0.0,3.367
aten::slice_backward,25,6.381,0.25524,0.0,3.23
Memcpy DtoD (Device -> Device),25,5.474,0.21896000000000002,5.474,0.0
_RasterizeToPixels,5,4.9,0.98,4.9,0.383
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<32u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,4.9,0.98,4.9,0.0
aten::div,35,3.589,0.10254285714285714,3.589,2.004
autograd::engine::evaluate_function: DivBackward0,5,3.462,0.6924,0.0,1.427
DivBackward0,5,3.462,0.6924,0.0,1.311
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})",25,3.443,0.13772,3.443,0.0
aten::cat,30,2.905,0.09683333333333333,2.905,0.976
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 3, 128, 1>(float*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<float, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",15,2.784,0.1856,2.784,0.0
