name,calls,cuda_total_ms,cuda_avg_ms,self_cuda_total_ms,cpu_total_ms
_RasterizeToPixels,5,4.926,0.9852000000000001,4.926,0.441
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<32u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,4.926,0.9852000000000001,4.926,0.0
aten::cat,25,2.843,0.11372,2.843,0.753
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 3, 128, 1>(float*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<float, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",15,2.803,0.18686666666666668,2.803,0.0
"void cub::DeviceRadixSortOnesweepKernel<cub::DeviceRadixSortPolicy<long, int, int>::Policy800, false, long, int, int, int>(int*, int*, int*, int const*, long*, long const*, int*, int const*, int, int, int)",30,0.805,0.02683333333333333,0.805,0.0
aten::mean,10,0.386,0.0386,0.386,0.541
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",10,0.375,0.0375,0.375,0.0
"void gsplat::intersect_tile_kernel<float>(bool, unsigned int, unsigned int, unsigned int, long const*, long const*, float const*, int const*, float const*, long const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int*, long*, int*)",10,0.335,0.0335,0.335,0.0
aten::inverse,5,0.299,0.0598,0.0,2.063
aten::linalg_inv,5,0.299,0.0598,0.0,2.054
aten::linalg_inv_ex,5,0.259,0.0518,0.0,1.49
aten::linalg_solve_ex,5,0.23,0.046,0.0,1.16
aten::_linalg_solve_ex,5,0.23,0.046,0.0,1.071
_SphericalHarmonics,5,0.223,0.0446,0.223,0.308
"void gsplat::spherical_harmonics_fwd_kernel<float>(unsigned int, unsigned int, unsigned int, glm::vec<3, float, (glm::qualifier)0> const*, float const*, bool const*, float*)",5,0.223,0.0446,0.223,0.0
_FullyFusedProjection,5,0.219,0.0438,0.219,0.469
"void gsplat::projection_ewa_3dgs_fused_fwd_kernel<float>(unsigned int, unsigned int, unsigned int, float const*, float const*, float const*, float const*, float const*, float const*, float const*, unsigned int, unsigned int, float, float, float, float, gsplat::CameraModelType, int*, float*, float*, float*, float*)",5,0.219,0.0438,0.219,0.0
aten::fill_,30,0.205,0.006833333333333333,0.205,0.549
aten::zero_,25,0.19,0.0076,0.0,0.558
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>)",25,0.19,0.0076,0.19,0.0
