name,calls,cuda_total_ms,cuda_avg_ms,self_cuda_total_ms,cpu_total_ms
autograd::engine::evaluate_function: _RasterizeToPixelsBackward,5,34.523,6.9046,0.0,2.291
_RasterizeToPixelsBackward,5,34.523,6.9046,34.248,2.062
"void gsplat::rasterize_to_pixels_3dgs_bwd_kernel<19u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float const*, int const*, float const*, float const*, glm::vec<2, float, (glm::qualifier)0>*, glm::vec<2, float, (glm::qualifier)0>*, glm::vec<3, float, (glm::qualifier)0>*, float*, float*)",5,34.248,6.849600000000001,34.248,0.0
aten::copy_,65,5.236,0.08055384615384616,5.236,26.78
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",25,4.678,0.18712,4.678,0.0
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,35,4.267,0.12191428571428571,0.0,1.891
torch::autograd::AccumulateGrad,35,4.267,0.12191428571428571,0.0,1.52
_RasterizeToPixels,5,3.878,0.7756000000000001,3.878,0.477
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<19u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,3.878,0.7756000000000001,3.878,0.0
aten::cat,20,2.063,0.10315,2.063,0.831
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 3, 128, 1>(float*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<float, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",10,1.962,0.19619999999999999,1.962,0.0
aten::fill_,125,1.46,0.01168,1.46,3.584
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>)",115,1.42,0.012347826086956521,1.42,0.0
aten::zero_,105,1.403,0.013361904761904762,0.0,3.68
autograd::engine::evaluate_function: SliceBackward0,20,1.24,0.062,0.0,3.306
autograd::engine::evaluate_function: _SphericalHarmonicsBackward,5,1.063,0.21259999999999998,0.0,1.208
_SphericalHarmonicsBackward,5,1.063,0.21259999999999998,0.606,1.056
SliceBackward0,20,0.892,0.0446,0.0,2.727
aten::slice_backward,20,0.892,0.0446,0.0,2.622
aten::zeros_like,45,0.837,0.018600000000000002,0.0,2.511
