name,calls,cuda_total_ms,cuda_avg_ms,self_cuda_total_ms,cpu_total_ms
_RasterizeToPixels,5,3.922,0.7844,3.922,0.532
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<19u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,3.922,0.7844,3.922,0.0
aten::cat,15,1.983,0.13219999999999998,1.983,0.607
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 3, 128, 1>(float*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<float, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",10,1.963,0.1963,1.963,0.0
"void cub::DeviceRadixSortOnesweepKernel<cub::DeviceRadixSortPolicy<long, int, int>::Policy800, false, long, int, int, int>(int*, int*, int*, int const*, long*, long const*, int*, int const*, int, int, int)",30,0.812,0.027066666666666666,0.812,0.0
"void gsplat::intersect_tile_kernel<float>(bool, unsigned int, unsigned int, unsigned int, long const*, long const*, float const*, int const*, float const*, long const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int*, long*, int*)",10,0.344,0.0344,0.344,0.0
aten::mean,10,0.329,0.0329,0.329,0.668
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",10,0.319,0.0319,0.319,0.0
aten::inverse,5,0.304,0.0608,0.0,3.169
aten::linalg_inv,5,0.304,0.0608,0.0,3.161
aten::linalg_inv_ex,5,0.261,0.0522,0.0,1.966
aten::linalg_solve_ex,5,0.231,0.046200000000000005,0.0,1.497
aten::_linalg_solve_ex,5,0.231,0.046200000000000005,0.0,1.375
_FullyFusedProjection,5,0.222,0.0444,0.222,0.554
"void gsplat::projection_ewa_3dgs_fused_fwd_kernel<float>(unsigned int, unsigned int, unsigned int, float const*, float const*, float const*, float const*, float const*, float const*, float const*, unsigned int, unsigned int, float, float, float, float, gsplat::CameraModelType, int*, float*, float*, float*, float*)",5,0.222,0.0444,0.222,0.0
_SphericalHarmonics,5,0.222,0.0444,0.222,0.371
"void gsplat::spherical_harmonics_fwd_kernel<float>(unsigned int, unsigned int, unsigned int, glm::vec<3, float, (glm::qualifier)0> const*, float const*, bool const*, float*)",5,0.222,0.0444,0.222,0.0
aten::linalg_lu_solve,5,0.142,0.028399999999999998,0.12,0.732
Memset (Device),50,0.128,0.00256,0.128,0.0
aten::linalg_vector_norm,5,0.12,0.024,0.12,0.262
