name,calls,cuda_total_ms,cuda_avg_ms,self_cuda_total_ms,cpu_total_ms
_RasterizeToPixels,10,6.258,0.6257999999999999,6.258,1.05
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<16u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,3.502,0.7004,3.502,0.0
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<3u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,2.756,0.5512,2.756,0.0
aten::cat,5,1.374,0.2748,1.374,0.24
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 3, 128, 1>(float*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<float, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",5,1.374,0.2748,1.374,0.0
"void cub::DeviceRadixSortOnesweepKernel<cub::DeviceRadixSortPolicy<long, int, int>::Policy800, false, long, int, int, int>(int*, int*, int*, int const*, long*, long const*, int*, int const*, int, int, int)",30,0.808,0.026933333333333333,0.808,0.0
"void gsplat::intersect_tile_kernel<float>(bool, unsigned int, unsigned int, unsigned int, long const*, long const*, float const*, int const*, float const*, long const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int*, long*, int*)",10,0.354,0.0354,0.354,0.0
aten::linalg_inv,5,0.308,0.0616,0.0,6.194
aten::linalg_inv_ex,5,0.264,0.0528,0.0,1.905
aten::inverse,5,0.245,0.049,0.0,6.202
aten::linalg_solve_ex,5,0.234,0.046799999999999994,0.0,1.489
aten::_linalg_solve_ex,5,0.234,0.046799999999999994,0.0,1.369
_FullyFusedProjection,5,0.221,0.0442,0.221,0.585
"void gsplat::projection_ewa_3dgs_fused_fwd_kernel<float>(unsigned int, unsigned int, unsigned int, float const*, float const*, float const*, float const*, float const*, float const*, float const*, unsigned int, unsigned int, float, float, float, float, gsplat::CameraModelType, int*, float*, float*, float*, float*)",5,0.221,0.0442,0.221,0.0
_SphericalHarmonics,5,0.221,0.0442,0.221,0.388
"void gsplat::spherical_harmonics_fwd_kernel<float>(unsigned int, unsigned int, unsigned int, glm::vec<3, float, (glm::qualifier)0> const*, float const*, bool const*, float*)",5,0.221,0.0442,0.221,0.0
aten::mean,10,0.221,0.0221,0.221,0.687
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",10,0.211,0.0211,0.211,0.0
aten::linalg_lu_solve,5,0.145,0.029,0.122,0.712
aten::linalg_vector_norm,5,0.123,0.0246,0.123,0.24
