name,calls,cuda_total_ms,cuda_avg_ms,self_cuda_total_ms,cpu_total_ms
_RasterizeToPixels,10,6.292,0.6292000000000001,6.291,1.012
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<16u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,3.5,0.7,3.5,0.0
"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<3u, float>(unsigned int, unsigned int, unsigned int, bool, glm::vec<2, float, (glm::qualifier)0> const*, glm::vec<3, float, (glm::qualifier)0> const*, float const*, float const*, float const*, bool const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int const*, int const*, float*, float*, int*)",5,2.791,0.5582,2.791,0.0
"void cub::DeviceRadixSortOnesweepKernel<cub::DeviceRadixSortPolicy<long, int, int>::Policy800, false, long, int, int, int>(int*, int*, int*, int const*, long*, long const*, int*, int const*, int, int, int)",60,1.624,0.027066666666666666,1.624,0.0
aten::cat,5,1.389,0.2778,1.386,0.214
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<float, unsigned int, 3, 128, 1>(float*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<float, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",5,1.386,0.2772,1.386,0.0
cudaLaunchKernel,305,0.776,0.002544262295081967,0.776,3.272
"void gsplat::intersect_tile_kernel<float>(bool, unsigned int, unsigned int, unsigned int, long const*, long const*, float const*, int const*, float const*, long const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, int*, long*, int*)",20,0.668,0.0334,0.668,0.0
cudaMemsetAsync,90,0.661,0.007344444444444444,0.661,0.633
_FullyFusedProjection,10,0.437,0.0437,0.432,1.117
"void gsplat::projection_ewa_3dgs_fused_fwd_kernel<float>(unsigned int, unsigned int, unsigned int, float const*, float const*, float const*, float const*, float const*, float const*, float const*, unsigned int, unsigned int, float, float, float, float, gsplat::CameraModelType, int*, float*, float*, float*, float*)",10,0.432,0.0432,0.432,0.0
aten::exp,5,0.371,0.0742,0.071,0.19
aten::inverse,5,0.319,0.0638,0.0,10.925
aten::linalg_inv,5,0.319,0.0638,0.0,10.913
aten::cumsum,10,0.29,0.029,0.141,0.971
aten::linalg_inv_ex,5,0.269,0.0538,0.0,1.936
aten::mean,10,0.265,0.0265,0.221,0.629
_SphericalHarmonics,5,0.241,0.0482,0.218,0.375
aten::linalg_solve_ex,5,0.238,0.0476,0.0,1.489
aten::_linalg_solve_ex,5,0.238,0.0476,0.0,1.326
