# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    0    2381390     C      0      0      -      -      -      -    530      0    python         
    0    2381390     C      0      0      -      -      -      -    762      0    python         
    0    2381390     C     85     25      -      -      -      -    764      0    python         
    0    2381390     C     91     27      -      -      -      -    764      0    python         
    0    2381390     C     91     27      -      -      -      -    764      0    python         
    0    2381390     C     93     27      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     94     28      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     94     28      -      -      -      -    764      0    python         
    0    2381390     C     94     28      -      -      -      -    764      0    python         
    0    2381390     C     94     27      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     93     28      -      -      -      -    764      0    python         
    0    2381390     C     92     28      -      -      -      -    764      0    python         
    0    2381390     C     91     27      -      -      -      -    764      0    python         
    0    2381390     C     91     27      -      -      -      -    764      0    python         
    0    2381390     C     91     27      -      -      -      -    764      0    python         
    0    2381390     C     91     27      -      -      -      -    764      0    python         
    0    2381390     C     91     27      -      -      -      -    764      0    python         
    0    2381390     C     91     27      -      -      -      -    764      0    python         
    0    2381390     C     92     27      -      -      -      -    764      0    python         
    0    2381390     C     62     18      -      -      -      -    764      0    python         
    0    2381390     C      0      0      -      -      -      -    764      0    python         
