backend,mode,view_index,view_order,sample,time_ms
diff,forward,0,0,0,2.4340479373931885
diff,forward,17,1,1,2.5763840675354004
diff,forward,34,2,2,2.4586238861083984
diff,forward,51,3,3,2.254848003387451
diff,forward,68,4,4,2.0951039791107178
diff,forward,85,5,5,1.7960959672927856
diff,forward,102,6,6,2.5876479148864746
diff,forward,119,7,7,2.398207902908325
diff,forward,136,8,8,2.4401919841766357
diff,forward,153,9,9,2.362368106842041
diff,forward,0,0,10,2.4596478939056396
diff,forward,17,1,11,2.520064115524292
diff,forward,34,2,12,2.436095952987671
diff,forward,51,3,13,2.2568960189819336
diff,forward,68,4,14,2.011136054992676
diff,forward,85,5,15,1.7889280319213867
diff,forward,102,6,16,2.5907199382781982
diff,forward,119,7,17,2.4104959964752197
diff,forward,136,8,18,2.4299519062042236
diff,forward,153,9,19,2.322432041168213
diff,forward,0,0,20,2.480128049850464
diff,forward,17,1,21,2.565119981765747
diff,forward,34,2,22,2.4586238861083984
diff,forward,51,3,23,2.2415359020233154
diff,forward,68,4,24,2.0480000972747803
diff,forward,85,5,25,1.7827839851379395
diff,forward,102,6,26,2.613248109817505
diff,forward,119,7,27,2.3930881023406982
diff,forward,136,8,28,2.447360038757324
diff,forward,153,9,29,2.4227840900421143
diff,forward,0,0,30,2.4698879718780518
diff,forward,17,1,31,2.5415680408477783
diff,forward,34,2,32,2.4432640075683594
diff,forward,51,3,33,2.2814719676971436
diff,forward,68,4,34,2.056191921234131
diff,forward,85,5,35,1.7838079929351807
diff,forward,102,6,36,2.5712640285491943
diff,forward,119,7,37,2.386944055557251
diff,forward,136,8,38,2.3961598873138428
diff,forward,153,9,39,2.4842240810394287
diff,forward,0,0,40,2.456576108932495
diff,forward,17,1,41,2.578432083129883
diff,forward,34,2,42,2.455552101135254
diff,forward,51,3,43,2.2231040000915527
diff,forward,68,4,44,2.0203518867492676
diff,forward,85,5,45,1.8012160062789917
diff,forward,102,6,46,2.5907199382781982
diff,forward,119,7,47,2.382848024368286
diff,forward,136,8,48,2.4483840465545654
diff,forward,153,9,49,2.407423973083496
diff,forward,0,0,50,2.4391679763793945
diff,forward,17,1,51,2.550784111022949
diff,forward,34,2,52,2.4739840030670166
diff,forward,51,3,53,2.2527999877929688
diff,forward,68,4,54,2.081792116165161
diff,forward,85,5,55,1.810431957244873
diff,forward,102,6,56,2.578432083129883
diff,forward,119,7,57,2.4053759574890137
diff,forward,136,8,58,2.386944055557251
diff,forward,153,9,59,2.4330239295959473
diff,forward,0,0,60,2.4483840465545654
diff,forward,17,1,61,2.5579519271850586
diff,forward,34,2,62,2.476032018661499
diff,forward,51,3,63,2.284543991088867
diff,forward,68,4,64,2.0387840270996094
diff,forward,85,5,65,1.7674239873886108
diff,forward,102,6,66,2.584575891494751
diff,forward,119,7,67,2.391040086746216
diff,forward,136,8,68,2.447360038757324
diff,forward,153,9,69,2.357248067855835
diff,forward,0,0,70,2.451456069946289
diff,forward,17,1,71,2.554879903793335
diff,forward,34,2,72,2.4494080543518066
diff,forward,51,3,73,2.2855679988861084
diff,forward,68,4,74,2.066431999206543
diff,forward,85,5,75,1.793023943901062
diff,forward,102,6,76,2.638848066329956
diff,forward,119,7,77,2.4350719451904297
diff,forward,136,8,78,2.491391897201538
diff,forward,153,9,79,2.530303955078125
diff,forward,0,0,80,2.4586238861083984
diff,forward,17,1,81,2.623487949371338
diff,forward,34,2,82,2.455552101135254
diff,forward,51,3,83,2.2128639221191406
diff,forward,68,4,84,2.011136054992676
diff,forward,85,5,85,1.8042880296707153
diff,forward,102,6,86,2.5661439895629883
diff,forward,119,7,87,2.4330239295959473
diff,forward,136,8,88,2.471935987472534
diff,forward,153,9,89,2.4524800777435303
diff,forward,0,0,90,2.476032018661499
diff,forward,17,1,91,2.575360059738159
diff,forward,34,2,92,2.490367889404297
diff,forward,51,3,93,2.2312960624694824
diff,forward,68,4,94,2.011136054992676
diff,forward,85,5,95,1.7715200185775757
diff,forward,102,6,96,2.5589759349823
diff,forward,119,7,97,2.4186880588531494
diff,forward,136,8,98,2.4586238861083984
diff,forward,153,9,99,2.3644158840179443
diff,forward,0,0,100,2.4729599952697754
diff,forward,17,1,101,2.5825281143188477
diff,forward,34,2,102,2.4442880153656006
diff,forward,51,3,103,2.268160104751587
diff,forward,68,4,104,2.027519941329956
diff,forward,85,5,105,1.8032640218734741
diff,forward,102,6,106,2.5733120441436768
diff,forward,119,7,107,2.382848024368286
diff,forward,136,8,108,2.4494080543518066
diff,forward,153,9,109,2.4289278984069824
diff,forward,0,0,110,2.4688639640808105
diff,forward,17,1,111,2.579456090927124
diff,forward,34,2,112,2.4596478939056396
diff,forward,51,3,113,2.258944034576416
diff,forward,68,4,114,2.135040044784546
diff,forward,85,5,115,1.7797119617462158
diff,forward,102,6,116,2.569216012954712
diff,forward,119,7,117,2.4084479808807373
diff,forward,136,8,118,2.4248321056365967
diff,forward,153,9,119,2.3900160789489746
diff,forward,0,0,120,2.4985599517822266
diff,forward,17,1,121,2.570240020751953
diff,forward,34,2,122,2.447360038757324
diff,forward,51,3,123,2.2753279209136963
diff,forward,68,4,124,2.0838398933410645
diff,forward,85,5,125,1.7848320007324219
diff,forward,102,6,126,2.554879903793335
diff,forward,119,7,127,2.4391679763793945
diff,forward,136,8,128,2.4791040420532227
diff,forward,153,9,129,2.381824016571045
diff,forward,0,0,130,2.425856113433838
diff,forward,17,1,131,2.5825281143188477
diff,forward,34,2,132,2.4268798828125
diff,forward,51,3,133,2.2353920936584473
diff,forward,68,4,134,2.0439040660858154
diff,forward,85,5,135,1.7643519639968872
diff,forward,102,6,136,2.608128070831299
diff,forward,119,7,137,2.4289278984069824
diff,forward,136,8,138,2.406399965286255
diff,forward,153,9,139,2.4145920276641846
diff,forward,0,0,140,2.48524808883667
diff,forward,17,1,141,2.5630719661712646
diff,forward,34,2,142,2.4934399127960205
diff,forward,51,3,143,2.263040065765381
diff,forward,68,4,144,2.0930559635162354
diff,forward,85,5,145,1.7674239873886108
diff,forward,102,6,146,2.5774080753326416
diff,forward,119,7,147,2.3941121101379395
diff,forward,136,8,148,2.406399965286255
diff,forward,153,9,149,2.4535040855407715
diff,forward,0,0,150,2.4893438816070557
diff,forward,17,1,151,2.594815969467163
diff,forward,34,2,152,2.4401919841766357
diff,forward,51,3,153,2.248703956604004
diff,forward,68,4,154,2.017280101776123
diff,forward,85,5,155,1.7776639461517334
diff,forward,102,6,156,2.5804800987243652
diff,forward,119,7,157,2.3889920711517334
diff,forward,136,8,158,2.4043519496917725
diff,forward,153,9,159,2.3930881023406982
diff,forward,0,0,160,2.4381439685821533
diff,forward,17,1,161,2.52620792388916
diff,forward,34,2,162,2.465791940689087
diff,forward,51,3,163,2.3060479164123535
diff,forward,68,4,164,2.021375894546509
diff,forward,85,5,165,1.8124799728393555
diff,forward,102,6,166,2.5569279193878174
diff,forward,119,7,167,2.4043519496917725
diff,forward,136,8,168,2.4033279418945312
diff,forward,153,9,169,2.461695909500122
diff,forward,0,0,170,2.4391679763793945
diff,forward,17,1,171,2.5825281143188477
diff,forward,34,2,172,2.4442880153656006
diff,forward,51,3,173,2.2415359020233154
diff,forward,68,4,174,2.1094400882720947
diff,forward,85,5,175,1.7920000553131104
diff,forward,102,6,176,2.5835518836975098
diff,forward,119,7,177,2.398207902908325
diff,forward,136,8,178,2.441215991973877
