# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    0    2379971     C      2      0      -      -      -      -   1252      0    python         
    0    2379971     C      7      3      -      -      -      -   2052      0    python         
    0    2379971     C     63     31      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     49      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     49      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     49      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     49      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     47      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     47      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     49      -      -      -      -   2052      0    python         
    0    2379971     C     98     49      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     49      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     47      -      -      -      -   2052      0    python         
    0    2379971     C     97     47      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     47      -      -      -      -   2052      0    python         
    0    2379971     C     97     47      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     98     47      -      -      -      -   2052      0    python         
    0    2379971     C     98     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     97     48      -      -      -      -   2052      0    python         
    0    2379971     C     47     23      -      -      -      -   2052      0    python         
    0    2379971     C      0      0      -      -      -      -   2052      0    python         
