backend,mode,view_index,view_order,sample,time_ms
diff,forward,0,0,0,6.205440044403076
diff,forward,17,1,1,5.458943843841553
diff,forward,34,2,2,6.315008163452148
diff,forward,51,3,3,5.718016147613525
diff,forward,68,4,4,5.693439960479736
diff,forward,85,5,5,5.8818559646606445
diff,forward,102,6,6,6.663167953491211
diff,forward,119,7,7,5.481472015380859
diff,forward,5,8,8,7.148543834686279
diff,forward,22,9,9,5.212160110473633
diff,forward,0,0,10,6.112256050109863
diff,forward,17,1,11,5.349376201629639
diff,forward,34,2,12,6.2863359451293945
diff,forward,51,3,13,5.740543842315674
diff,forward,68,4,14,5.550079822540283
diff,forward,85,5,15,5.838848114013672
diff,forward,102,6,16,6.716415882110596
diff,forward,119,7,17,5.430272102355957
diff,forward,5,8,18,7.101439952850342
diff,forward,22,9,19,5.356544017791748
diff,forward,0,0,20,6.031360149383545
diff,forward,17,1,21,5.517312049865723
diff,forward,34,2,22,6.271999835968018
diff,forward,51,3,23,5.63097620010376
diff,forward,68,4,24,5.496831893920898
diff,forward,85,5,25,5.837823867797852
diff,forward,102,6,26,6.730751991271973
diff,forward,119,7,27,5.386240005493164
diff,forward,5,8,28,7.061503887176514
diff,forward,22,9,29,5.264383792877197
diff,forward,0,0,30,6.188032150268555
diff,forward,17,1,31,5.4917120933532715
diff,forward,34,2,32,6.28326416015625
diff,forward,51,3,33,5.731328010559082
diff,forward,68,4,34,5.574656009674072
diff,forward,85,5,35,5.889023780822754
diff,forward,102,6,36,6.732800006866455
diff,forward,119,7,37,5.574656009674072
diff,forward,5,8,38,7.08403205871582
diff,forward,22,9,39,5.196800231933594
diff,forward,0,0,40,6.096896171569824
diff,forward,17,1,41,5.469183921813965
diff,forward,34,2,42,6.287360191345215
diff,forward,51,3,43,5.665791988372803
diff,forward,68,4,44,5.5654401779174805
diff,forward,85,5,45,5.87775993347168
diff,forward,102,6,46,6.680575847625732
diff,forward,119,7,47,5.576704025268555
diff,forward,5,8,48,7.064576148986816
diff,forward,22,9,49,5.158912181854248
diff,forward,0,0,50,6.055935859680176
diff,forward,17,1,51,5.497856140136719
diff,forward,34,2,52,6.302720069885254
diff,forward,51,3,53,5.835775852203369
diff,forward,68,4,54,5.479423999786377
diff,forward,85,5,55,5.983232021331787
diff,forward,102,6,56,6.743040084838867
diff,forward,119,7,57,5.593088150024414
diff,forward,5,8,58,7.094272136688232
diff,forward,22,9,59,5.191679954528809
diff,forward,0,0,60,6.057983875274658
diff,forward,17,1,61,5.502975940704346
diff,forward,34,2,62,6.334464073181152
diff,forward,51,3,63,5.753856182098389
diff,forward,68,4,64,5.52345609664917
diff,forward,85,5,65,5.874688148498535
diff,forward,102,6,66,6.744063854217529
diff,forward,119,7,67,5.524479866027832
diff,forward,5,8,68,7.159808158874512
diff,forward,22,9,69,5.224448204040527
diff,forward,0,0,70,6.037504196166992
diff,forward,17,1,71,5.392384052276611
diff,forward,34,2,72,6.248447895050049
diff,forward,51,3,73,5.685247898101807
diff,forward,68,4,74,5.626880168914795
diff,forward,85,5,75,5.8787841796875
diff,forward,102,6,76,6.689792156219482
diff,forward,119,7,77,5.569536209106445
diff,forward,5,8,78,7.09119987487793
diff,forward,22,9,79,5.235712051391602
diff,forward,0,0,80,6.036479949951172
diff,forward,17,1,81,5.578752040863037
diff,forward,34,2,82,6.244351863861084
diff,forward,51,3,83,5.8173441886901855
diff,forward,68,4,84,5.530623912811279
diff,forward,85,5,85,5.864448070526123
diff,forward,102,6,86,6.688767910003662
diff,forward,119,7,87,5.628928184509277
diff,forward,5,8,88,7.129087924957275
diff,forward,22,9,89,5.1466240882873535
diff,forward,0,0,90,6.06822395324707
diff,forward,17,1,91,5.420032024383545
diff,forward,34,2,92,6.242303848266602
diff,forward,51,3,93,5.7876482009887695
diff,forward,68,4,94,5.5562238693237305
diff,forward,85,5,95,5.963776111602783
diff,forward,102,6,96,6.674431800842285
diff,forward,119,7,97,5.46611213684082
diff,forward,5,8,98,7.066624164581299
diff,forward,22,9,99,5.195775985717773
diff,forward,0,0,100,6.214655876159668
diff,forward,17,1,101,5.517312049865723
diff,forward,34,2,102,6.240255832672119
diff,forward,51,3,103,5.699584007263184
diff,forward,68,4,104,5.554175853729248
diff,forward,85,5,105,5.9269118309021
diff,forward,102,6,106,6.681600093841553
diff,forward,119,7,107,5.5121917724609375
diff,forward,5,8,108,7.071743965148926
diff,forward,22,9,109,5.227519989013672
diff,forward,0,0,110,6.0794878005981445
diff,forward,17,1,111,5.481472015380859
diff,forward,34,2,112,6.299647808074951
diff,forward,51,3,113,5.889023780822754
diff,forward,68,4,114,5.567488193511963
diff,forward,85,5,115,5.905407905578613
diff,forward,102,6,116,6.721536159515381
diff,forward,119,7,117,5.557248115539551
diff,forward,5,8,118,7.0502400398254395
diff,forward,22,9,119,5.293056011199951
diff,forward,0,0,120,6.067200183868408
diff,forward,17,1,121,5.465087890625
diff,forward,34,2,122,6.397952079772949
diff,forward,51,3,123,6.094848155975342
diff,forward,68,4,124,5.682176113128662
diff,forward,85,5,125,5.959680080413818
diff,forward,102,6,126,6.870016098022461
diff,forward,119,7,127,5.433343887329102
diff,forward,5,8,128,7.120895862579346
diff,forward,22,9,129,5.216256141662598
diff,forward,0,0,130,6.0293121337890625
diff,forward,17,1,131,5.422080039978027
diff,forward,34,2,132,6.249472141265869
diff,forward,51,3,133,5.82041597366333
diff,forward,68,4,134,5.587967872619629
diff,forward,85,5,135,5.809152126312256
diff,forward,102,6,136,6.67033576965332
diff,forward,119,7,137,5.436416149139404
diff,forward,5,8,138,7.106560230255127
diff,forward,22,9,139,5.215231895446777
diff,forward,0,0,140,6.208511829376221
diff,forward,17,1,141,5.472256183624268
diff,forward,34,2,142,6.22489595413208
diff,forward,51,3,143,5.746687889099121
diff,forward,68,4,144,5.681151866912842
diff,forward,85,5,145,5.8572797775268555
diff,forward,102,6,146,6.658048152923584
diff,forward,119,7,147,5.555200099945068
diff,forward,5,8,148,7.071743965148926
diff,forward,22,9,149,5.244927883148193
diff,forward,0,0,150,6.1829118728637695
diff,forward,17,1,151,5.510144233703613
diff,forward,34,2,152,6.276095867156982
diff,forward,51,3,153,5.678080081939697
diff,forward,68,4,154,5.458943843841553
diff,forward,85,5,155,5.889023780822754
diff,forward,102,6,156,6.702079772949219
diff,forward,119,7,157,5.539840221405029
diff,forward,5,8,158,7.106560230255127
diff,forward,22,9,159,5.090303897857666
diff,forward,0,0,160,6.046720027923584
diff,forward,17,1,161,5.437439918518066
diff,forward,34,2,162,6.2126078605651855
diff,forward,51,3,163,5.753856182098389
diff,forward,68,4,164,5.651455879211426
diff,forward,85,5,165,5.9115519523620605
diff,forward,102,6,166,6.672383785247803
diff,forward,119,7,167,5.428224086761475
diff,forward,5,8,168,7.078911781311035
diff,forward,22,9,169,5.153791904449463
diff,forward,0,0,170,6.095871925354004
diff,forward,17,1,171,5.431295871734619
diff,forward,34,2,172,6.307839870452881
diff,forward,51,3,173,5.758975982666016
diff,forward,68,4,174,5.566463947296143
diff,forward,85,5,175,5.915647983551025
diff,forward,102,6,176,6.687744140625
diff,forward,119,7,177,5.446656227111816
diff,forward,5,8,178,7.070720195770264
diff,forward,22,9,179,5.21830415725708
diff,forward,0,0,180,6.077439785003662
diff,forward,17,1,181,5.488639831542969
diff,forward,34,2,182,6.334464073181152
diff,forward,51,3,183,5.9555840492248535
diff,forward,68,4,184,5.5562238693237305
diff,forward,85,5,185,5.908480167388916
diff,forward,102,6,186,6.687744140625
diff,forward,119,7,187,5.444608211517334
diff,forward,5,8,188,7.089151859283447
diff,forward,22,9,189,5.21727991104126
diff,forward,0,0,190,6.082560062408447
diff,forward,17,1,191,5.442560195922852
diff,forward,34,2,192,6.252543926239014
diff,forward,51,3,193,5.754879951477051
diff,forward,68,4,194,5.557248115539551
diff,forward,85,5,195,5.856256008148193
diff,forward,102,6,196,6.707200050354004
diff,forward,119,7,197,5.443583965301514
