# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    0    2382241     C      0      0      -      -      -      -    530      0    python         
    0    2382241     C      0      0      -      -      -      -    772      0    python         
    0    2382241     C     55     17      -      -      -      -    772      0    python         
    0    2382241     C     90     27      -      -      -      -    772      0    python         
    0    2382241     C     92     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     29      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     93     28      -      -      -      -    772      0    python         
    0    2382241     C     91     28      -      -      -      -    772      0    python         
    0    2382241     C     83     25      -      -      -      -    772      0    python         
    0    2382241     C     88     27      -      -      -      -    772      0    python         
    0    2382241     C     88     27      -      -      -      -    772      0    python         
    0    2382241     C     88     27      -      -      -      -    772      0    python         
    0    2382241     C     88     27      -      -      -      -    772      0    python         
    0    2382241     C     88     27      -      -      -      -    772      0    python         
    0    2382241     C     77     23      -      -      -      -    772      0    python         
    0    2382241     C      0      0      -      -      -      -    772      0    python         
