kind,cdim,ptxas_regs_per_thread,stack_frame_bytes,spill_stores_bytes,spill_loads_bytes,ptxas_static_smem_bytes,ptxas_cmem_bytes,ptxas_entry_line,ptxas_used_line,symbol
bwd,1,66,0,0,0,0,528,548,551,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj1EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,2,72,0,0,0,0,528,544,547,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj2EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,3,74,0,0,0,0,528,540,543,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj3EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,4,78,0,0,0,0,528,536,539,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj4EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,5,78,0,0,0,0,528,532,535,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj5EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,8,86,0,0,0,0,528,528,531,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj8EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,9,86,0,0,0,0,528,524,527,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj9EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,16,112,0,0,0,0,528,520,523,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj16EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,17,112,0,0,0,0,528,516,519,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj17EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,19,122,0,0,0,0,528,512,515,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj19EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,32,162,0,0,0,0,528,508,511,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj32EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,33,159,0,0,0,0,528,504,507,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj33EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,64,255,0,0,0,0,528,500,503,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj64EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,65,253,0,0,0,0,528,496,499,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj65EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,128,255,760,3664,4632,0,528,492,495,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj128EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,129,255,784,3796,4768,0,528,488,491,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj129EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,256,255,2416,3836,3156,0,528,484,487,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj256EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,257,255,2448,5020,4344,0,528,480,483,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj257EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,512,255,6704,13800,24728,0,528,476,479,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj512EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,513,255,6736,27452,27940,0,528,472,475,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj513EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
